model,metric,mean,sem
deepseek,correctness,5.0,0.0
deepseek,faithfulness,5.0,0.0
deepseek,helpfulness,5.0,0.0
deepseek,relevance,5.0,0.0
deepseek,truthfulness,5.0,0.0
deepseek,virality,4.2,0.24944382578492946
deepseek_rag,correctness,4.4,0.42687494916218993
deepseek_rag,faithfulness,3.4,0.39999999999999997
deepseek_rag,helpfulness,5.0,0.0
deepseek_rag,relevance,4.6,0.39999999999999997
deepseek_rag,truthfulness,5.0,0.0
deepseek_rag,virality,4.2,0.2
gemini,correctness,5.0,0.0
gemini,faithfulness,5.0,0.0
gemini,helpfulness,5.0,0.0
gemini,relevance,5.0,0.0
gemini,truthfulness,5.0,0.0
gemini,virality,4.2,0.2905932629027116
gemini_rag,correctness,4.5,0.3415650255319866
gemini_rag,faithfulness,3.7,0.39581140290126393
gemini_rag,helpfulness,4.8,0.20000000000000007
gemini_rag,relevance,4.7,0.213437474581095
gemini_rag,truthfulness,4.8,0.20000000000000007
gemini_rag,virality,3.6,0.2666666666666667
llama,correctness,5.0,0.0
llama,faithfulness,4.6,0.39999999999999997
llama,helpfulness,4.9,0.1
llama,relevance,5.0,0.0
llama,truthfulness,5.0,0.0
llama,virality,3.7,0.3666666666666667
llama_rag,correctness,4.5,0.3415650255319866
llama_rag,faithfulness,3.7,0.334995854037363
llama_rag,helpfulness,4.6,0.2666666666666667
llama_rag,relevance,4.6,0.2666666666666667
llama_rag,truthfulness,4.6,0.2666666666666667
llama_rag,virality,3.6,0.26666666666666666
mistral,correctness,5.0,0.0
mistral,faithfulness,4.6,0.39999999999999997
mistral,helpfulness,5.0,0.0
mistral,relevance,5.0,0.0
mistral,truthfulness,5.0,0.0
mistral,virality,3.6,0.39999999999999997
mistral_rag,correctness,3.7,0.5972157622389639
mistral_rag,faithfulness,3.1,0.5467073155618908
mistral_rag,helpfulness,4.8,0.19999999999999998
mistral_rag,relevance,4.8,0.20000000000000007
mistral_rag,truthfulness,4.9,0.10000000000000002
mistral_rag,virality,3.9,0.348010216963685
