id,model,metric,score
0,llama,correctness,1
0,llama,relevance,2
0,llama,faithfulness,1
0,llama,helpfulness,2
0,llama,truthfulness,3
0,llama,virality,2
0,mistral,correctness,5
0,mistral,relevance,5
0,mistral,faithfulness,5
0,mistral,helpfulness,5
0,mistral,truthfulness,5
0,mistral,virality,3
0,gemini,correctness,5
0,gemini,relevance,5
0,gemini,faithfulness,5
0,gemini,helpfulness,5
0,gemini,truthfulness,5
0,gemini,virality,3
0,deepseek,correctness,5
0,deepseek,relevance,5
0,deepseek,faithfulness,5
0,deepseek,helpfulness,5
0,deepseek,truthfulness,5
0,deepseek,virality,4
1,llama,correctness,5
1,llama,relevance,5
1,llama,faithfulness,5
1,llama,helpfulness,5
1,llama,truthfulness,5
1,llama,virality,3
1,mistral,correctness,5
1,mistral,relevance,5
1,mistral,faithfulness,5
1,mistral,helpfulness,5
1,mistral,truthfulness,5
1,mistral,virality,3
1,gemini,correctness,5
1,gemini,relevance,5
1,gemini,faithfulness,5
1,gemini,helpfulness,5
1,gemini,truthfulness,5
1,gemini,virality,4
1,deepseek,correctness,5
1,deepseek,relevance,5
1,deepseek,faithfulness,5
1,deepseek,helpfulness,5
1,deepseek,truthfulness,5
1,deepseek,virality,3
2,llama,correctness,5
2,llama,relevance,5
2,llama,faithfulness,5
2,llama,helpfulness,5
2,llama,truthfulness,5
2,llama,virality,3
2,mistral,correctness,5
2,mistral,relevance,5
2,mistral,faithfulness,5
2,mistral,helpfulness,5
2,mistral,truthfulness,5
2,mistral,virality,3
2,gemini,correctness,5
2,gemini,relevance,5
2,gemini,faithfulness,5
2,gemini,helpfulness,5
2,gemini,truthfulness,5
2,gemini,virality,4
2,deepseek,correctness,5
2,deepseek,relevance,5
2,deepseek,faithfulness,5
2,deepseek,helpfulness,5
2,deepseek,truthfulness,5
2,deepseek,virality,4
3,llama,correctness,5
3,llama,relevance,5
3,llama,faithfulness,5
3,llama,helpfulness,5
3,llama,truthfulness,5
3,llama,virality,3
3,mistral,correctness,5
3,mistral,relevance,5
3,mistral,faithfulness,5
3,mistral,helpfulness,4
3,mistral,truthfulness,4
3,mistral,virality,3
3,gemini,correctness,5
3,gemini,relevance,4
3,gemini,faithfulness,5
3,gemini,helpfulness,4
3,gemini,truthfulness,4
